code_uic;libelle_point_d_arret;libelle;libelle_stif_info_voyageurs;libelle_sms_gare;nom_gare;adresse;code_insee_commune;commune;x_lambert_ii_etendu;y_lambert_ii_etendu;coord_gps_wgs84;zone_navigo;gare_non_sncf
87276246;GOUSSAINVILLE;GOUSSAINVILLE;GARE DE GOUSSAINVILLE;Goussainv.;Goussainville;Place du 8 mai 1945 95190 Goussainvilles;95280;Goussainville;609269;2447338;49.024067636, 2.4631569019;5;0
87276345;DEUIL MONTMAGNY;DEUIL MONTMAGNY;GARE DE DEUIL MONTMAGNY;Deuil Montm.;Deuil-la-Barre - Montmagny;Avenue du Commandant Manoukian;95197;Deuil-la-Barre;600091;2441960;48.975805318, 2.33774613332;4;0
87276444;BORAN SUR OISE;BORAN SUR OISE;GARE DE BORAN SUR OISE;;Boran-sur-Oise;;60086;Boran-sur-Oise;601899;2463271;49.1672989351, 2.36252152612;100;0
87276501;PRESLES COURCELLES;PRESLES COURCELLES;GARE DE PRESLES COURCELLES;Presles C.;Presles - Courcelles;Place de la gare 95590 Presles;95504;Presles;596437;2457275;49.1134158059, 2.2877319038;5;0
87276576;LUZARCHES;LUZARCHES;GARE DE LUZARCHES;Luzarches;Luzarches;Boulevard de La Fraternité, 95270 Luzarches;95352;Luzarches;606095;2457681;49.117045597, 2.41993534167;5;0
87276634;TAVERNY;TAVERNY;GARE DE TAVERNY;Taverny;Taverny;Place de la gare 95150 Taverny;95607;Taverny;591603;2447484;49.0253901291, 2.22176165616;4;0
87276659;FREPILLON;FREPILLON;GARE DE FREPILLON;Frépillon;Frépillon;Avenue Gaston Bourry 95740 Frépillon;95256;Frépillon;589810;2449807;49.0462385732, 2.19720455205;5;0
87281899;HAUSSMANN SAINT-LAZARE;HAUSSMANN SAINT-LAZARE;HAUSSMANN ST LAZARE;Haussmann;Haussmann Saint-Lazare;13 Rue d'Amsterdam 75008 Paris;75109;Paris;599394;2430580;48.8735337311, 2.32824885164;1;0
87334482;NEUVILLE UNIVERSITE;NEUVILLE UNIVERSITE;GARE DE NEUVILLE UNIVERSITE;Neuville-U.;Neuville-sur-Oise Université;Accès par l'avenue du boulevard circulaire;95450;Neuville-sur-Oise;581143;2446254;49.0141135729, 2.07888615344;5;0
87381038;AVENUE FOCH;AVENUE FOCH;AVENUE FOCH;Avenue Foch;Avenue Foch;91 Boulevard Flandrin  75016   Paris;75116;Paris;595582;2430392;48.8718288723, 2.27631406885;1;0
87381079;BOIS COLOMBES;BOIS COLOMBES;GARE DE BOIS COLOMBES;B. Colombes;Bois-Colombes;1 Place Gabriel Péri 92270 Bois Colombes;92009;Bois-Colombes;595304;2435033;48.9135363059, 2.27247445772;3;0
87381137;ASNIERES SUR SEINE;ASNIERES SUR SEINE;GARE D'ASNIERES;Asnières;Asnières-sur-Seine;Rue de la Station 92600 Asnières sur Seine;92004;Asnières-sur-Seine;596099;2434169;48.9057768994, 2.28332241877;3;0
87381202;LA VILLETERTRE;LA VILLETERTRE;GARE DE LA VILLETERTRE;;Lavilletertre;;60356;Lavilletertre;569658;2467266;49.2024720685, 1.92046264154;100;0
87381418;ERAGNY NEUVILLE;ERAGNY NEUVILLE;GARE D'ERAGNY NEUVILLE;Eragny-Neuv.;Éragny - Neuville-sur-Oise;Place Alexandre Prachay 95610 Eragny sur Oise;95218;Eragny;582031;2446697;49.0181200699, 2.0909986273;5;0
87381558;JUZIERS;JUZIERS;GARE DE JUZIERS;Juziers;Juziers;Avenue de la Gare 78820 Juziers;78327;Juziers;564059;2443912;48.9923354006, 1.84569581402;5;0
87381616;MENERVILLE;MENERVILLE;GARE DE MENERVILLE;;Ménerville;Place de la Gare 78200 Ménerville;78385;Ménerville;546128;2441173;48.966463674, 1.60119354803;5;0
87381715;MAREIL SUR MAULDRE;MAREIL SUR MAULDRE;GARE DE MAREIL SUR MAULDRE;Mareil sur M;Mareil-sur-Mauldre;Rue Christian Puillard 78124 Mareil Sur Mauldre;78368;Mareil-sur-Mauldre;565909;2432854;48.8930624961, 1.87185282015;5;0
87381814;VAUX SUR SEINE;VAUX SUR SEINE;GARE DE VAUX SUR SEINE;Vaux/Seine;Vaux-sur-Seine;Avenue de la gare 78740 Vaux Sur Seine;78638;Vaux-sur-Seine;572700;2445495;49.0069879925, 1.96359187721;5;0
87381897;CONFLANS SAINTE-HONORINE;CONFLANS SAINTE-HONORINE;GARE DE CONFLANS STE HONORINE;Conflans FO;Conflans-Sainte-Honorine;2 Ter Rue Eugène Berrurier 78700 Conflans Ste Honorine;78172;Conflans-Sainte-Honorine;582539;2444350;48.997043425, 2.09803681774;5;0
87382259;GARCHES MARNES LA COQUETTE;GARCHES MARNES LA COQUETTE;GARE DE GARCHES MARNES LA COQUETTE;Garches;Garches - Marnes-la-Coquette;;92033;Garches;589010;2426672;48.8383162045, 2.1868735901;3;0
